병원명,기관구분,주소,지역,위도,경도
라온의 집,정신재활시설,충청남도 홍성군 홍성읍 대내길 97번지,충청남도,36.6127284766157,126.674468486004
라파의 집,정신재활시설,충청북도 증평군 증평읍 외룡길32-24,충청북도,36.7736753096326,127.615031921135
로뎀나무,정신재활시설,"서울특별시 서대문구 증가로24마길 19, 101호",서울,37.582840811844,126.91729545359
리앤리,정신재활시설,인천광역시 연수구 한나루로 186번길 54,인천,37.4246622159884,126.657829705862
리커버리하우스,정신재활시설,"서울특별시 관악구 남부순환로172길 116(신림동), 2층",서울,37.4821837457801,126.919458164268
마산정신요양원,정신요양시설,경상남도 창원시 마산합포구 진북면 진북산업로622-60,경상남도,35.1684420099009,128.473660819562
마야정신요양원,정신요양시설,경상북도 영천시 북안면 내서로 55-24,경상북도,35.9100442635905,129.016331040713
마음건강,정신재활시설,전라북도 전주시 완산구 권삼득로 40 (1층),전라북도,35.8258669366244,127.148574085359
마음건강복지관,정신재활시설,전라북도 전주시 완산구 물왕멀2길 20-29 (2~5층),전라북도,35.8268249337797,127.149551961094
마음건강회복홈,정신재활시설,전라북도 전주시 완산구 물왕멀2길 25,전라북도,35.8272982603821,127.148691958955
